epoch,steps,loss,accuracy,auc
0,128,4.5067,0.7059,0.6429
1,128,0.0043,0.5294,0.8333
2,128,0.0045,0.8235,0.6786
3,128,0.0044,0.7647,0.4904
4,128,0.0068,0.4118,0.7000
5,128,0.0065,0.7647,0.7214
6,128,0.0073,0.7059,0.7667
7,128,0.0066,0.5294,0.7361
8,128,0.0055,0.5294,0.7500
9,128,0.0106,0.7059,0.6111
