LOSS_NAME,NEG_SET,POOLING_MODE,CONCAT,NUM_LABELS,CONF_THRESHOLD,BATCH_SIZE,EPOCHS,LR,RELU,DROPOUT,MARGIN,MAX_TEST_ACC,MAX_ZERO_ACC
ContrastiveLoss,other,max,,,,32,10,0.001,0.0,0.0,0.2,0.5825,0.8952
ContrastiveLoss,other,max,,,,32,10,0.001,0.0,0.5,0.2,0.5581,0.8645
ContrastiveLoss,other,max,,,,32,10,0.001,0.0,0.0,0.5,0.6637,0.8885
ContrastiveLoss,other,max,,,,32,10,0.001,0.0,0.5,0.5,0.5581,0.8645
ContrastiveLoss,other,max,,,,32,10,0.001,0.0,0.5,1.0,0.5581,0.8645
ContrastiveLoss,other,max,,,,32,10,0.001,0.0,0.1,2.0,0.585,0.8638
ContrastiveLoss,other,max,,,,32,10,0.001,0.2,0.1,2.0,0.9969,0.7772
ContrastiveLoss,other,max,,,,32,10,0.001,0.0,0.5,2.0,0.5581,0.8645
ContrastiveLoss,other,max,,,,32,10,0.001,0.0,0.5,5.0,0.5581,0.8645
