LOSS_NAME,NEG_SET,POOLING_MODE,CONCAT,NUM_LABELS,CONF_THRESHOLD,BATCH_SIZE,EPOCHS,LR,RELU,DROPOUT,MARGIN,MAX_TEST_ACC,MAX_ZERO_ACC
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.2,1.0,0.9988,0.834
TripletLoss,delta,max,,,,32,10,0.001,0.1,0.2,1.0,0.9988,0.838
TripletLoss,delta,max,,,,32,10,0.001,0.2,0.2,1.0,0.9962,0.8775
TripletLoss,delta,max,,,,32,10,0.001,0.5,0.2,1.0,0.9962,0.882
TripletLoss,delta,max,,,,32,10,0.001,1.0,0.2,1.0,1.0,0.808
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.5,1.0,0.9988,0.8565
TripletLoss,delta,max,,,,32,10,0.001,0.1,0.5,1.0,0.9988,0.7635
TripletLoss,delta,max,,,,32,10,0.001,0.2,0.5,1.0,0.9988,0.863
TripletLoss,delta,max,,,,32,10,0.001,0.5,0.5,1.0,0.9962,0.836
TripletLoss,delta,max,,,,32,10,0.001,1.0,0.5,1.0,0.9912,0.778
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.8,1.0,0.9988,0.82
TripletLoss,delta,max,,,,32,10,0.001,0.1,0.8,1.0,0.9975,0.851
TripletLoss,delta,max,,,,32,10,0.001,0.2,0.8,1.0,0.9875,0.82
TripletLoss,delta,max,,,,32,10,0.001,0.5,0.8,1.0,0.9962,0.832
TripletLoss,delta,max,,,,32,10,0.001,1.0,0.8,1.0,0.985,0.8005
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.0,2.0,1.0,0.895
TripletLoss,delta,max,,,,32,10,0.001,0.1,0.0,2.0,0.9975,0.771
TripletLoss,delta,max,,,,32,10,0.001,0.2,0.0,2.0,1.0,0.802
TripletLoss,delta,max,,,,32,10,0.001,0.5,0.0,2.0,0.9975,0.7615
TripletLoss,delta,max,,,,32,10,0.001,1.0,0.0,2.0,0.9988,0.841
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.1,2.0,1.0,0.842
TripletLoss,delta,max,,,,32,10,0.001,0.1,0.1,2.0,0.9988,0.8915
TripletLoss,delta,max,,,,32,10,0.001,0.2,0.1,2.0,0.9988,0.84
TripletLoss,delta,max,,,,32,10,0.001,0.5,0.1,2.0,0.9988,0.9035
TripletLoss,delta,max,,,,32,10,0.001,1.0,0.1,2.0,0.9975,0.8515
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.2,2.0,0.9988,0.847
TripletLoss,delta,max,,,,32,10,0.001,0.1,0.2,2.0,1.0,0.922
TripletLoss,delta,max,,,,32,10,0.001,0.2,0.2,2.0,1.0,0.828
TripletLoss,delta,max,,,,32,10,0.001,0.5,0.2,2.0,0.9988,0.8665
