LOSS_NAME,NEG_SET,POOLING_MODE,CONCAT,NUM_LABELS,CONF_THRESHOLD,BATCH_SIZE,EPOCHS,LR,RELU,DROPOUT,MARGIN,MAX_TEST_ACC,MAX_ZERO_ACC
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.0,0.0,,0.9506,0.511
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.1,0.0,,0.92,0.6987
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.2,0.0,,0.9619,0.5647
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.5,0.0,,0.9537,0.6435
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,1.0,0.0,,0.9456,0.5505
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.0,0.1,,0.9475,0.599
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.1,0.1,,0.9644,0.6967
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.2,0.1,,0.9544,0.5995
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.5,0.1,,0.945,0.6643
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,1.0,0.1,,0.9244,0.6528
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.0,0.2,,0.9419,0.6775
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.1,0.2,,0.9406,0.727
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.2,0.2,,0.9337,0.605
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.5,0.2,,0.9663,0.6165
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,1.0,0.2,,0.9619,0.6915
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.0,0.5,,0.9563,0.6098
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.1,0.5,,0.9187,0.5365
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.2,0.5,,0.9544,0.5667
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.5,0.5,,0.9031,0.6235
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,1.0,0.5,,0.9125,0.5347
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.0,0.8,,0.945,0.5447
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.1,0.8,,0.9244,0.5345
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.2,0.8,,0.9281,0.566
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,0.5,0.8,,0.9644,0.6837
SoftmaxLoss,other,max,CD,3,0.975,32,10,0.001,1.0,0.8,,0.9313,0.647
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.0,0.0,,0.9625,0.6518
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.1,0.0,,0.9625,0.7542
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.2,0.0,,0.9194,0.6705
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.5,0.0,,0.9625,0.7218
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,1.0,0.0,,0.9613,0.6865
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.0,0.1,,0.9594,0.7562
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.1,0.1,,0.9669,0.7292
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.2,0.1,,0.9625,0.5375
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.5,0.1,,0.9413,0.7642
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,1.0,0.1,,0.9587,0.6335
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.0,0.2,,0.9669,0.6993
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.1,0.2,,0.9744,0.7645
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.2,0.2,,0.9706,0.6258
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.5,0.2,,0.9537,0.6242
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,1.0,0.2,,0.9619,0.687
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.0,0.5,,0.9812,0.7475
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.1,0.5,,0.9669,0.7867
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.2,0.5,,0.9587,0.6827
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.5,0.5,,0.9475,0.729
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,1.0,0.5,,0.9344,0.7618
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.0,0.8,,0.9688,0.7335
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.1,0.8,,0.9631,0.776
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.2,0.8,,0.9556,0.6833
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,0.5,0.8,,0.9556,0.7013
SoftmaxLoss,other,max,CD,2,0.0,32,10,0.001,1.0,0.8,,0.9631,0.819
