LOSS_NAME,NEG_SET,POOLING_MODE,CONCAT,NUM_LABELS,CONF_THRESHOLD,BATCH_SIZE,EPOCHS,LR,RELU,DROPOUT,MARGIN,MAX_TEST_ACC,MAX_ZERO_ACC
SoftmaxLoss,delta,max,C,2.0,0.0,32,10,0.001,0.25,0.8,,0.955,0.7515
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.0,2.0,1.0,0.895
ContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.0,2.0,0.9994,0.8205
SoftmaxLoss,delta,max,CD,2.0,0.0,32,10,0.001,0.25,0.8,,0.935,0.7622
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.0,0.5,0.9988,0.816
ContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.0,0.5,0.695,0.8905
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.0,0.2,0.995,0.801
ContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.0,0.2,0.6475,0.8968
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.0,0.2,0.59,0.886
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.0,0.5,0.5563,0.8802
SoftmaxLoss,delta,max,CD,3.0,0.95,32,10,0.001,0.25,0.8,,0.945,0.7105
SoftmaxLoss,delta,max,CD,3.0,0.95,32,10,0.001,0.0,0.8,,0.915,0.6238
SoftmaxLoss,delta,max,CD,3.0,0.95,32,10,0.001,0.1,0.8,,0.9375,0.7365
SoftmaxLoss,delta,max,CD,2.0,0.0,32,10,0.001,0.1,0.8,,0.95,0.8403
SoftmaxLoss,delta,max,CD,2.0,0.0,32,10,0.001,0.1,0.5,,0.9675,0.8572
TripletLoss,delta,max,,,,32,10,0.001,0.25,0.0,2.0,0.9988,0.866
ContrastiveLoss,delta,max,,,,32,10,0.001,0.25,0.0,2.0,1.0,0.8175
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.0,1.0,0.6294,0.8662
SoftmaxLoss,delta,max,CD,2.0,0.0,32,10,0.001,0.25,0.5,,0.975,0.776
SoftmaxLoss,delta,max,CD,2.0,0.0,32,10,0.001,0.25,0.5,,0.965,0.7672
SoftmaxLoss,delta,max,CD,2.0,0.0,32,10,0.001,0.25,0.8,,0.935,0.7622
SoftmaxLoss,delta,max,CD,2.0,0.0,32,10,0.001,0.25,0.8,,0.9625,0.7358
