LOSS_NAME,NEG_SET,POOLING_MODE,CONCAT,NUM_LABELS,CONF_THRESHOLD,BATCH_SIZE,EPOCHS,LR,RELU,DROPOUT,MARGIN,MAX_TEST_ACC,MAX_ZERO_ACC
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.0,0.0,,0.9506,0.5062
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.1,0.0,,0.9344,0.7057
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.2,0.0,,0.9619,0.5282
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.5,0.0,,0.9656,0.5952
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,1.0,0.0,,0.9506,0.5232
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.0,0.1,,0.9475,0.5673
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.1,0.1,,0.9769,0.6382
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.2,0.1,,0.9619,0.5673
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.5,0.1,,0.9525,0.6823
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,1.0,0.1,,0.9287,0.612
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.0,0.2,,0.9425,0.6625
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.1,0.2,,0.9531,0.7175
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.2,0.2,,0.9437,0.5917
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.5,0.2,,0.9669,0.568
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,1.0,0.2,,0.9619,0.662
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.0,0.5,,0.9575,0.569
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.1,0.5,,0.925,0.528
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.2,0.5,,0.9563,0.6492
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.5,0.5,,0.9056,0.6238
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,1.0,0.5,,0.9313,0.6723
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.0,0.8,,0.9481,0.5045
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.1,0.8,,0.9375,0.599
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.2,0.8,,0.9331,0.5312
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,0.5,0.8,,0.9644,0.6697
SoftmaxLoss,other,max,CD,3,0.95,32,10,0.001,1.0,0.8,,0.94,0.5972
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.0,0.0,,0.9506,0.5525
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.1,0.0,,0.9012,0.6008
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.2,0.0,,0.9613,0.5945
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.5,0.0,,0.9456,0.6987
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,1.0,0.0,,0.9431,0.615
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.0,0.1,,0.9306,0.6943
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.1,0.1,,0.9644,0.5897
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.2,0.1,,0.9475,0.594
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.5,0.1,,0.9363,0.5605
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,1.0,0.1,,0.9131,0.7073
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.0,0.2,,0.9363,0.678
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.1,0.2,,0.935,0.6212
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.2,0.2,,0.9213,0.614
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.5,0.2,,0.9625,0.5965
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,1.0,0.2,,0.9569,0.6132
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.0,0.5,,0.9487,0.6362
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.1,0.5,,0.8988,0.5593
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.2,0.5,,0.9463,0.6095
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.5,0.5,,0.8725,0.648
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,1.0,0.5,,0.8888,0.7328
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.0,0.8,,0.9437,0.5535
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.1,0.8,,0.9169,0.6115
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.2,0.8,,0.9244,0.6195
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,0.5,0.8,,0.9644,0.6857
SoftmaxLoss,other,max,CD,3,0.99,32,10,0.001,1.0,0.8,,0.8956,0.574
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.0,0.0,,0.9506,0.5775
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.1,0.0,,0.8812,0.614
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.2,0.0,,0.9531,0.545
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.5,0.0,,0.9381,0.6098
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,1.0,0.0,,0.9175,0.6737
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.0,0.1,,0.92,0.7255
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.1,0.1,,0.9644,0.632
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.2,0.1,,0.94,0.604
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.5,0.1,,0.9263,0.5787
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,1.0,0.1,,0.9087,0.7472
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.0,0.2,,0.9331,0.6675
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.1,0.2,,0.9294,0.6455
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.2,0.2,,0.9006,0.6475
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.5,0.2,,0.9619,0.6242
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,1.0,0.2,,0.9563,0.6535
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.0,0.5,,0.945,0.6415
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.1,0.5,,0.8888,0.5843
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.2,0.5,,0.9431,0.65
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.5,0.5,,0.8456,0.6258
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,1.0,0.5,,0.8656,0.7338
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.0,0.8,,0.9437,0.5447
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.1,0.8,,0.9119,0.7618
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.2,0.8,,0.9194,0.5427
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,0.5,0.8,,0.9644,0.5897
SoftmaxLoss,other,max,CD,3,0.995,32,10,0.001,1.0,0.8,,0.8706,0.6322
